Date,Open,High,Low,Close,Adj Close,Volume
2020-10-24,0.019661,0.020039,0.019308,0.019419,0.019419,19242649
2020-10-25,0.019419,0.019666,0.018899,0.018974,0.018974,20358158
2020-10-26,0.018974,0.019182,0.018076,0.018380,0.018380,17579511
2020-10-27,0.018380,0.018972,0.018250,0.018513,0.018513,27578478
2020-10-28,0.018513,0.018555,0.017424,0.017690,0.017690,23775886
2020-10-29,0.017690,0.017986,0.017343,0.017504,0.017504,18760948
2020-10-30,0.017504,0.017941,0.016684,0.017476,0.017476,15725221
2020-10-31,0.017476,0.017905,0.017316,0.017651,0.017651,14600346
2020-11-01,0.017651,0.018000,0.017444,0.017871,0.017871,14034244
2020-11-02,0.017871,0.018070,0.017158,0.017159,0.017159,18032176
2020-11-03,0.017159,0.017311,0.016575,0.017306,0.017306,13226079
2020-11-04,0.017306,0.017453,0.016633,0.017290,0.017290,13304456
2020-11-05,0.017290,0.018613,0.017290,0.018550,0.018550,17176691
2020-11-06,0.018550,0.020240,0.018404,0.020240,0.020240,27869942
2020-11-07,0.020240,0.020581,0.017599,0.018313,0.018313,29549362
2020-11-08,0.018313,0.019587,0.018145,0.019222,0.019222,14435409
2020-11-09,0.019223,0.019347,0.018084,0.019276,0.019276,13566987
2020-11-10,0.019277,0.020396,0.019047,0.020161,0.020161,22990888
2020-11-11,0.020161,0.020779,0.020029,0.020219,0.020219,16898876
2020-11-12,0.020219,0.020377,0.019027,0.019130,0.019130,16878604
2020-11-13,0.019130,0.020304,0.019130,0.020211,0.020211,17797547
2020-11-14,0.020211,0.020235,0.019481,0.020095,0.020095,19444435
2020-11-15,0.020095,0.021319,0.019279,0.019906,0.019906,24972088
2020-11-16,0.019906,0.022058,0.019674,0.021144,0.021144,27408265
2020-11-17,0.021856,0.022973,0.021201,0.022752,0.022752,36250604
2020-11-18,0.022752,0.022947,0.020716,0.021711,0.021711,31751329
2020-11-19,0.021711,0.021869,0.020794,0.021062,0.021062,20565763
2020-11-20,0.021062,0.022458,0.020982,0.022395,0.022395,20869534
2020-11-21,0.022395,0.023718,0.022234,0.023514,0.023514,38862411
2020-11-22,0.023514,0.023981,0.021347,0.022432,0.022432,33424905
2020-11-23,0.022432,0.024335,0.022210,0.024335,0.024335,33348255
2020-11-24,0.024321,0.025737,0.023159,0.025291,0.025291,60183324
2020-11-25,0.025279,0.036038,0.024961,0.028935,0.028935,230555079
2020-11-26,0.028852,0.032128,0.022773,0.025797,0.025797,137775984
2020-11-27,0.025849,0.026773,0.023115,0.024580,0.024580,41182151
2020-11-28,0.024617,0.028330,0.024123,0.026671,0.026671,55222777
2020-11-29,0.026671,0.030554,0.026379,0.029184,0.029184,62123138
2020-11-30,0.029205,0.030809,0.027835,0.029197,0.029197,61174630
2020-12-01,0.029235,0.031169,0.026883,0.027976,0.027976,50629902
2020-12-02,0.027975,0.032981,0.027700,0.031102,0.031102,60749519
2020-12-03,0.031139,0.033808,0.030676,0.033520,0.033520,52706166
2020-12-04,0.033517,0.034667,0.029098,0.029619,0.029619,51719403
2020-12-05,0.029602,0.034461,0.029150,0.033978,0.033978,50535228
2020-12-06,0.033978,0.035695,0.033544,0.035387,0.035387,56652516
2020-12-07,0.035368,0.036303,0.033601,0.035478,0.035478,52210845
2020-12-08,0.035482,0.035482,0.030955,0.031303,0.031303,59669292
2020-12-09,0.031281,0.032402,0.028680,0.031099,0.031099,51450305
2020-12-10,0.031080,0.033471,0.029597,0.032681,0.032681,45367181
